agentId	originRegionId	isMale	educationLevel	age	isHispanic	race	indiv_census_income	hh_census_income	householdInProvince	reportingRate	reportingRates_Single	family:numberOfPeople	family:haveKids	interest	joviality	jovialityBase	foodNeed:fullnessReachTimeInMinutes	foodNeed:keepingFullTimeInMinutes	foodNeed:hungryTreshold	foodNeed:starvingTreshold	foodNeed:appetite	
0	1	true	HighSchoolOrCollege	40.083333333333336	false	BlackOnly	132677	118719	true	0.8308249267265675	[0.5,0.5,0.3,0.8,0.8]	3	true	A	0.75170478532757	0.0	40.38577093065473	140.77154186130946	43.07615271289684	0.0	0.6538076356448423	
1	1	false	Bachelors	55.083333333333336	false	WhiteOnly	35223	3503	true	0.8239978151504338	[0.8,0.8,0.8,0.3,0.3]	3	true	G	0.3951913055639208	0.0	49.51176958893887	159.02353917787772	36.99215360737409	0.0	0.34960768036870443	
2	1	false	Graduate	33.083333333333336	false	Plus2Races	239336	81198	true	0.9181492193647616	[0.5,0.8,0.8,0.8,0.8]	3	true	B	0.9833339923510634	0.0	53.533384991471806	167.0667699829436	34.31107667235213	0.0	0.21555383361760655	
3	1	true	HighSchoolOrCollege	59.083333333333336	false	WhiteOnly	126517	250105	true	0.8350897188022837	[0.8,0.5,0.3,0.8,0.3]	3	true	D	0.3834379157984178	0.0	49.5	159.0	37.0	0.0	0.35	
4	1	false	Bachelors	24.083333333333332	false	WhiteOnly	121669	981267	true	0.7640915534102196	[0.3,0.8,0.8,0.8,0.3]	3	true	F	0.8796788877004411	0.0	42.82892614343861	145.65785228687722	41.447382571040926	0.0	0.5723691285520462	
5	1	false	Low	52.083333333333336	false	BlackOnly	321565	184605	true	0.97564431879636	[0.8,0.8,0.3,0.8,0.8]	3	true	F	0.019365919218251704	0.0	48.45231158281583	156.90462316563168	37.698458944789444	0.0	0.38492294723947224	
6	1	false	Graduate	34.083333333333336	false	BlackOnly	390151	652286	true	0.9181492193647616	[0.5,0.8,0.8,0.8,0.8]	3	true	D	0.5348843637875323	0.0	53.556610109572034	167.11322021914407	34.295593260285315	0.0	0.2147796630142656	
7	1	false	Bachelors	49.083333333333336	false	BlackOnly	493862	282141	true	0.9181492193647616	[0.5,0.8,0.8,0.8,0.8]	3	true	H	0.9596986770110922	0.0	40.27770310246854	140.55540620493707	43.14819793168763	0.0	0.6574098965843819	
8	1	false	Low	22.083333333333332	false	BlackOnly	92478	312913	true	0.9181492193647616	[0.3,0.8,0.3,0.8,0.8]	3	true	E	0.607204815407564	0.0	52.56839182463324	165.13678364926648	34.95440545024451	0.0	0.2477202725122254	
9	1	true	HighSchoolOrCollege	50.083333333333336	false	WhiteOnly	335941	58098	true	0.8350897188022837	[0.8,0.5,0.3,0.8,0.3]	3	true	C	0.7878754944622647	0.0	53.27606607044005	166.5521321408801	34.48262261970663	0.0	0.22413113098533166	
10	1	false	Bachelors	58.083333333333336	false	AsianOnly	53315	137860	true	0.9419085518138751	[0.8,0.8,0.8,0.3,0.8]	3	true	A	0.3459226228240918	0.0	47.90590631859554	155.81181263719108	38.06272912093631	0.0	0.4031364560468154	
11	1	false	Bachelors	34.083333333333336	false	BlackOnly	79362	188560	true	0.9181492193647616	[0.5,0.8,0.8,0.8,0.8]	3	true	G	0.835252564441989	0.0	47.263928892583166	154.52785778516633	38.49071407161122	0.0	0.424535703580561	
