agentId	originRegionId	isMale	educationLevel	isHispanic	race	indiv_census_income	hh_census_income	householdInProvince	reportingRate	reportingRates_Single	family:numberOfPeople	family:haveKids	interest	joviality	jovialityBase	foodNeed:fullnessReachTimeInMinutes	foodNeed:keepingFullTimeInMinutes	foodNeed:hungryTreshold	foodNeed:starvingTreshold	foodNeed:appetite	
0	1	true	HighSchoolOrCollege	false	BlackOnly	132677	118719	true	0.8308249267265675	[0.3,0.3,0.7,0.7]	3	true	A	0.75170478532757	0.0	40.38577093065473	140.77154186130946	43.07615271289684	0.0	0.6538076356448423	
1	1	false	Bachelors	false	WhiteOnly	35223	3503	true	0.8239978151504338	[0.7,0.7,0.3,0.3]	3	true	G	0.3951913055639208	0.0	49.51176958893887	159.02353917787772	36.99215360737409	0.0	0.34960768036870443	
2	1	false	Graduate	false	Plus2Races	239336	81198	true	0.9181492193647616	[0.3,0.7,0.7,0.7]	3	true	B	0.9833339923510634	0.0	53.533384991471806	167.0667699829436	34.31107667235213	0.0	0.21555383361760655	
3	1	true	HighSchoolOrCollege	false	WhiteOnly	126517	250105	true	0.8350897188022837	[0.7,0.3,0.7,0.3]	3	true	D	0.3834379157984178	0.0	49.5	159.0	37.0	0.0	0.35	
4	1	false	Bachelors	false	WhiteOnly	121669	981267	true	0.7640915534102196	[0.3,0.7,0.7,0.3]	3	true	F	0.8796788877004411	0.0	42.82892614343861	145.65785228687722	41.447382571040926	0.0	0.5723691285520462	
5	1	false	Low	false	BlackOnly	321565	184605	true	0.97564431879636	[0.7,0.7,0.7,0.7]	3	true	F	0.019365919218251704	0.0	48.45231158281583	156.90462316563168	37.698458944789444	0.0	0.38492294723947224	
6	1	false	Graduate	false	BlackOnly	390151	652286	true	0.9181492193647616	[0.3,0.7,0.7,0.7]	3	true	D	0.5348843637875323	0.0	53.556610109572034	167.11322021914407	34.295593260285315	0.0	0.2147796630142656	
7	1	false	Bachelors	false	BlackOnly	493862	282141	true	0.9181492193647616	[0.3,0.7,0.7,0.7]	3	true	H	0.9596986770110922	0.0	40.27770310246854	140.55540620493707	43.14819793168763	0.0	0.6574098965843819	
8	1	false	Low	false	BlackOnly	92478	312913	true	0.9181492193647616	[0.3,0.7,0.7,0.7]	3	true	E	0.607204815407564	0.0	52.56839182463324	165.13678364926648	34.95440545024451	0.0	0.2477202725122254	
9	1	true	HighSchoolOrCollege	false	WhiteOnly	335941	58098	true	0.8350897188022837	[0.7,0.3,0.7,0.3]	3	true	C	0.7878754944622647	0.0	53.27606607044005	166.5521321408801	34.48262261970663	0.0	0.22413113098533166	
10	1	false	Bachelors	false	AsianOnly	53315	137860	true	0.9419085518138751	[0.7,0.7,0.3,0.7]	3	true	A	0.3459226228240918	0.0	47.90590631859554	155.81181263719108	38.06272912093631	0.0	0.4031364560468154	
11	1	false	Bachelors	false	BlackOnly	79362	188560	true	0.9181492193647616	[0.3,0.7,0.7,0.7]	3	true	G	0.835252564441989	0.0	47.263928892583166	154.52785778516633	38.49071407161122	0.0	0.424535703580561	
12	1	false	Bachelors	false	PacIslandOnly	104443	4232	true	0.9181492193647616	[0.3,0.7,0.7,0.7]	3	true	A	0.14064321962955273	0.0	40.44119724224393	140.88239448448786	43.03920183850405	0.0	0.6519600919252024	
13	1	false	Bachelors	false	BlackOnly	132943	133785	true	0.9181492193647616	[0.3,0.7,0.7,0.7]	3	true	F	0.03322261689206285	0.0	52.322077168678355	164.64415433735672	35.1186152208811	0.0	0.2559307610440548	
14	1	false	Graduate	false	BlackOnly	470389	3847	true	0.9181492193647616	[0.3,0.7,0.7,0.7]	3	true	I	0.04553218364129141	0.0	52.188219125518785	164.37643825103757	35.207853916320815	0.0	0.2603926958160406	
15	1	true	Graduate	false	WhiteOnly	61782	6477	true	0.36466425585868595	[0.3,0.3,0.3,0.3]	3	true	F	0.6992593118158441	0.0	49.5	159.0	37.0	0.0	0.35	
16	1	true	Bachelors	false	BlackOnly	91562	143017	true	0.8308249267265675	[0.3,0.3,0.7,0.7]	3	true	E	0.719748335798906	0.0	46.608213211955736	153.21642642391146	38.92785785869618	0.0	0.4463928929348089	
17	1	true	HighSchoolOrCollege	false	WhiteOnly	43357	7711	true	0.36466425585868595	[0.3,0.3,0.3,0.3]	3	true	H	0.8582526983075703	0.0	45.970985843617264	151.9419716872345	39.35267610425516	0.0	0.4676338052127579	
18	1	true	HighSchoolOrCollege	false	BlackOnly	421727	8627	true	0.8308249267265675	[0.3,0.3,0.7,0.7]	3	true	J	0.7393419225377741	0.0	40.9987828256146	141.9975656512292	42.66747811625694	0.0	0.6333739058128469	
19	1	true	Bachelors	false	BlackOnly	85367	615522	true	0.8308249267265675	[0.3,0.3,0.7,0.7]	3	true	G	0.5870729045175558	0.0	40.85146793478974	141.70293586957948	42.76568804347351	0.0	0.6382844021736754	
20	1	true	HighSchoolOrCollege	false	WhiteOnly	426497	154	true	0.586439749074951	[0.3,0.3,0.7,0.3]	3	true	H	0.7373675679367507	0.0	43.24664513749302	146.49329027498604	41.168903241671316	0.0	0.558445162083566	
21	1	false	HighSchoolOrCollege	false	BlackOnly	369098	75361	true	0.9181492193647616	[0.3,0.7,0.7,0.7]	3	true	H	0.99855905633951	0.0	36.24910580690798	132.49821161381595	45.83392946206135	0.0	0.7916964731030673	
22	1	false	Graduate	true	WhiteOnly	53077	4277	true	0.5672894400869586	[0.3,0.7,0.3,0.3]	3	true	J	0.5281213765887682	0.0	41.27684608781942	142.55369217563884	42.482102608120385	0.0	0.6241051304060192	
23	1	false	Graduate	false	WhiteOnly	43241	3261	true	0.5672894400869586	[0.3,0.7,0.3,0.3]	3	true	G	0.38801886259964247	0.0	36.65391159225749	133.30782318451497	45.56405893849501	0.0	0.7782029469247503	
